archive-master                   archmstr
audit-options                    audit-op
audsync                          audit-sy
x_job-env-queue                  x_job-en
x_jobctrl                        x_jobctr
x_jobhist                        x_jobhis
x_jobqueue                       x_jobque
x_jobstat                        x_jobsta
x_jobtype                        x_jobtyp
x_licence                        x_licenc
x_licuser                        x_licuse
x_message                        x_messag
x_prcontrol                      x_prcont
x_printer                        x_printe
x_program                        x_progra
x_userprog                       x_usrprg
addractionwords                  addracti
advice-batch                     advice-b
advice-batch-item                adv-b-it
advice-gl                        advice-g
ae-sp                            ae-s
aemvthd                          aemv
aestkcnthd                       aes2
aestkcntln                       aest
aevact                           aev3
aevendcode                       aev2
agent-terminal                   agent-te
anceqp-adj                       anceqp-a
anceqp-bal                       anceqp-b
anceqp-ttls                      anceqp-t
appserver                        appserve
ar-control                       ar-contr
ar-gl-distr                      ar-gl-di
ar-open-tr                       ar-opent
bumanf-xref                      bumanf-x
carr-targ                        carr-tar
carrier-bu                       car-bu
carrier-ins                      carrier-
cash-jrnl                        cash-jr
cash-jrnl-gl                     cash-jrn
cash-jrnl-tr                     cash-jrt
cn-ae-det                        cn-ae-de
cntaglist                        cntaglst
correction-code                  correcti
costdriver                       costdriv
costmethod                       costingm
csr-activity                     csractiv
csr-activity-type                csractty
csr-attachment                   csr-atch
csr-header                       csrheadr
csr-level-service-standard       srvlvstd
csr-notify-flag                  csrnotfl
csr-notify-override              csrnotov
csr-service-standard             csrsrvst
csr-sub-type                     csr-subt
datastore                        datastor
dimension                        dimensio
edi-config                       edi-conf
edi-config-hold                  edi-conh
EdiMsgType                       edimsgty
edipartnermsg                    edipart1
email-eventhdr                   email-eh
email-notify                     email-no
eq-ty-grp                        eq-ty-gr
equipmove                        equipmov
fe-int-ctrl                      fe-int-c
fe-msg-rules                     fe-msg-r
finbranch                        finbranc
freight-point                    fr-point
gl-account                       gl-accou
gl-control                       gl-contr
invldsrchwords                   isrchwrd
keysearch                        keysrch
lh-d-trphdr                      lh-d-trp
Location                         location
MDTRequest                       mdtreque
menuref                          referen1
mnf-anceqp                       mnf-ance
proc-access                      proc-acc
productdet                       productd
producthdr                       producth
quoteconnote                     quotecon
quoteservice                     quotesrv
range-prefix                     range-pr
Reference                        referenc
route-hist                       route-hi
route-log                        route-lo
rptregion                        rptregio
rte-stat                         rt-stat
run-option                       run-opti
sales-jrnl                       sales-jr
saved-search                     svsearch
saved-search-param               svschpar
saved-search-param-type          svschpat
saved-search-type                svschtyp
SecToken                         sectoken
socketports                      socketpo
sonic-ctrl                       sonic-ct
sonic-job                        sonic-jo
sonic-job-msg                    sonicjm
sonic-job-msgdtl                 sonicjmd
stringDef                        stringde
svcestddet                       svcestdd
termfile-mnf                     termfile
TermRegion                       termregi
territory                        territor
timreflink                       timrefli
tim_message                      tim_mess
tim_reasoncd                     tim_reas
tim_wf_det                       tim_wf_d
trafflndet                       trafflnd
trip-equip                       trip-equ
txshipopt                        txshipop
voyage-freight                   voyage-f
weekly-summary                   weekly-s
whse-inv                         whseinv
whse-trans                       whsetran
zzbuterm                         termfil1
zzcodemgt                        codemgt
zzcodetab                        zzcodeta
zzcommdesc                       zzcommde
zzcommseq                        zzcommse
zzcontact                        zzcontac
zzcpritem                        zzcprite
zzcstcomm                        zzcstcom
zzcustchrg                       zzcustch
zzrtinchd                        zzrtinch
EDIque                           edique
MDTctrl                          system
MDTque                           mdtque
MDTreply                         reply
MDTroute                         mdtroute
aemvtln                          aem1
aestkent                         aes1
aevendacct                       aeve
agent-entity                     agent-en
ap-control                       ap-contr
ap-control-d                     ap-con-d
ap-inv-batch                     apinvbat
ap-inv-batch-item                apinvbit
ap-invoice                       ap-invoi
ap-invoice-alloc                 apinvall
ap-invoice-line                  apinvlin
ar-open-item                     ar-open1
batch-item                       batch-it
buFreight-point                  bufr-pt
buLocation                       bulocati
butim_type                       butim_ty
cn-ae-ctrl                       cn-ae-ct
cn-ae-hdr                        cn-ae-hd
cn-user-dft                      cn-usrdf
cost-error                       cost-err
cust-no-conv                     cust-no-
cust-statement                   cust-sta
cust-type                        cust-typ
custcn-dim                       custcn-d
custcn-item                      custcn-i
custcn-pall                      custcn-p
custglobal                       custglob
custgrpdet                       custgrpd
custgrphdr                       custgrph
custhier                         custheir
custmaster                       custmast
custom-compare                   custcomp
custom-dup                       custdup
customer-d                       custom-d
customer-d-snapshot              custom-1
edipartner                       edipartn
email-eventdet                   email-ed
email-module                     email-mo
fe-cn-ctrl                       fe-cn-ct
fe-cn-range                      fe-cn-ra
grpdet                           grpd
grphdr                           grph
hold-code                        hold-cod
image-type-code                  image-ty
interface-log                    iterface
job-access                       job-acce
last-action                      last-act
letter-det                       letter-d
letter-hdr                       letter-h
lh-car-dtls                      lh-car-d
lh-d-lane                        lh-d-lan
load-contents                    load-con
local-invoice                    locinv
local-invoice-ref                locinvrf
manifest                         manifes1
mndtry-flds                      mndtry-f
mnf-equip                        mnf-equi
pdstop-status                    pdstop-s
pickup-item                      pickup-i
pro-deliv                        pro-deli
pro-status                       pro-stat
procustdet                       procustd
productcat                       prodcat
productcomm                      productc
productcust                      prodcust
quotechrg                        quotechr
quoteerrors                      quoteerr
quoteitem                        quoteitm
route-sheet                      route-sh
rpt-def-template-hd              rptdhd
rpt-def-template-ln              rptdln
rpt-template-hd                  rpthd
rpt-template-ln                  rptln
salesman-d                       salesm-d
splittype                        splittyp
stmtformat                       stmtform
svcestdhdr                       svcestdh
timcreate                        timcreat
timlulink                        timlulnk
timreflinkdisp                   timrfdis
tim_activity                     tim_acti
tim_email                        tim_emai
tim_esc_user                     tim_escu
tim_notify                       tim_noti
tim_status                       tim_stat
tim_subact                       tim_suba
tim_subtype                      tim_subt
tim_term_det                     tim_trmd
tim_term_hdr                     tim_trmh
tim_usergrp_det                  tim_ugdt
tim_usergrp_hdr                  tim_ughd
tim_wf_hdr                       tim_work
tpt-cat-dflt-rev                 tptcatdr
trafflnhd                        trafflnh
trip-lane                        trip-lan
voyage-point                     voyage-p
webcustctrl                      webcustc
webcustdet                       webcustd
webcusthdr                       webcusth
webmenudet                       webmenud
webmenuhdr                       webmenuh
webncr-audit                     webncr-a
webncr-category                  webncr-c
webncr-type                      webncr-t
websession                       websessi
audit-header                     audit-he
audit-line                       audit-li
biexportlog                      biexport
email-log                        emaillog
gltxn                            gltxn1
keysearch1                       keysrch1
kscsrdet                         kscsrde
kscustdet                        kscustde
mnf-costs                        mnf-cost
old-gltxn                        gltxn
